pack_number,zip,pack_name,family,class,subclass,specialization,monster,boss,support_npc,weather,sun_variant,glb_modules,texture_upgrades_png,audio_wav,patch_json_files,target_glb_refs,target_texture_refs,size_bytes
1005,1005_character_appearance_quality_upgrade_1005_the_scrap_tek.zip,Character Appearance Quality Upgrade 1005 - The Scrap Tek,character_appearance_quality,The Scrap-Tek,Field-Mechanic,Overcharge,The Aegis Carapace,The Data-Forged Evolvarch,Lyra the Void-Touched,clear dawn,Deep Blue Lunar Sun,6,10,2,9,28,24,84124
1006,1006_monster_spawn_skin_randomizer_upgrade_1006_the_kinetic_juggernaut.zip,Monster Spawn Skin Randomizer Upgrade 1006 - The Kinetic Juggernaut,monster_spawn_randomizer,The Kinetic Juggernaut,Seismic Brawler,Aggro Manipulation,The Iron-Jaw Hound,The Syndicate Lich,Zephyr the Pilot,gold noon,Black-Sun Rimlight,6,10,2,9,28,24,84414
1007,1007_full_encounter_polish_upgrade_1007_the_phantom_shift.zip,Full Encounter Polish Upgrade 1007 - The Phantom Shift,full_encounter_polish,The Phantom-Shift,Glass-Cannon,Momentum Drift,The Venom-Spitter,The Astral Sovereign,Orion the Vanguard,orange dusk,Aurora Cyan Sun,6,10,2,9,28,24,61328
1008,1008_monster_special_attacks_random_skin_magic_1008_the_sylvan_warden.zip,Monster Special Attacks + Random Skin Magic 1008 - The Sylvan Warden,monster_special_skin_magic,The Sylvan Warden,Root-Binder,Thorns & Tethers,The Tremor-Fiend,The Ivory Behemoth,Director Vance,violet stormfront,Clear Dawn Sun,6,10,2,9,28,24,83900
1009,1009_boss_phase_magic_wipe_tell_upgrades_1009_the_flux_caster.zip,Boss Phase Magic + Wipe-Tell Upgrades 1009 - The Flux Caster,boss_phase_magic,The Flux-Caster,Aether-Blade,Superconduct,The Nexus Swarmers,The Resonant Behemoth,The Iron Warden,green eclipse,Hard Noon White Sun,6,10,2,9,28,24,84847
1010,1010_player_class_ability_fx_talent_tree_upgrades_1010_the_protocol_weaver.zip,Player Class Ability FX + Talent Tree Upgrades 1010 - The Protocol Weaver,player_class_ability_fx,The Protocol Weaver,Front-Matter Architect,Reality Tearing,Nexus Warden,The Resonance Maestro,Elder Kaelen,blue moonlight,Ash Orange Sun,6,10,2,9,28,24,69914
1011,1011_support_npc_special_attack_assist_upgrades_1011_the_apex_mutator.zip,Support NPC Special Attack + Assist Upgrades 1011 - The Apex Mutator,support_npc_specials,The Apex Mutator,Primal Catalyst,Feral Regeneration,The Scrap-Stalker,The Apex Chimera,Commander Solis,red ashfall,Storm Violet Sun,6,10,2,9,28,24,78946
1012,1012_high_tier_magic_weapon_upgrade_pack_1012_the_resonant.zip,High-Tier Magic Weapon Upgrade Pack 1012 - The Resonant,high_tier_magic_weapons,The Resonant,Sub-Bass Architect,Acoustic Shielding,The Sylvan Juggernaut,The Null Anomaly,The Chord Weaver,whiteout snow,Toxic Green Eclipse,6,10,2,9,28,24,78768
1013,1013_high_tier_magic_armor_upgrade_pack_1013_the_packmaster.zip,High-Tier Magic Armor Upgrade Pack 1013 - The Packmaster,high_tier_magic_armor,The Packmaster,Feral Vanguard,Territorial Divide,The Void Anomaly,The Ascendant Colossus,Spark,acid rain,Deep Blue Lunar Sun,6,10,2,9,28,24,84938
1014,1014_combat_flow_smoothness_dynamic_camera_1014_the_orbital_striker.zip,Combat Flow Smoothness + Dynamic Camera 1014 - The Orbital Striker,combat_flow_camera,The Orbital Striker,Grav-Architect,Satellite Painting,The Grid-Rushers,The Data-Forged Evolvarch,The Fragmented Core,zero-g starwind,Black-Sun Rimlight,6,10,2,9,28,24,69749
1015,1015_weather_sun_color_terrain_upgrade_1015_the_scrap_tek.zip,Weather + Sun Color + Terrain Upgrade 1015 - The Scrap Tek,weather_sun_terrain,The Scrap-Tek,Exo-Brawler,Hydraulic Leap,The Gnarl-Maws,The Syndicate Lich,The Grand Archivist,black-sun anomaly,Aurora Cyan Sun,6,10,2,9,28,24,84985
1016,1016_nature_terrain_element_upgrade_1016_the_kinetic_juggernaut.zip,Nature + Terrain Element Upgrade 1016 - The Kinetic Juggernaut,nature_terrain_elements,The Kinetic Juggernaut,Counter-Weight,Kinetic Absorption,The Scrap-Phalanx,The Astral Sovereign,Kael the Cadet,aurora rain,Clear Dawn Sun,6,10,2,9,28,24,83808
1017,1017_character_appearance_quality_upgrade_1017_the_phantom_shift.zip,Character Appearance Quality Upgrade 1017 - The Phantom Shift,character_appearance_quality,The Phantom-Shift,Chrono-Blade,Shadow-Anchor,The Siphon-Ticks,The Ivory Behemoth,Riff the Ascetic,heat shimmer,Hard Noon White Sun,6,10,2,9,28,24,60964
1018,1018_monster_spawn_skin_randomizer_upgrade_1018_the_sylvan_warden.zip,Monster Spawn Skin Randomizer Upgrade 1018 - The Sylvan Warden,monster_spawn_randomizer,The Sylvan Warden,Verdant Weaver,Ablative Carapace,The Aegis Carapace,The Resonant Behemoth,Silas the Houndmaster,deep-water gloom,Ash Orange Sun,6,10,2,9,28,24,84114
1019,1019_full_encounter_polish_upgrade_1019_the_flux_caster.zip,Full Encounter Polish Upgrade 1019 - The Flux Caster,full_encounter_polish,The Flux-Caster,Geo-Mage,Elemental Ward,The Iron-Jaw Hound,The Resonance Maestro,Spark the Hacker,crystal fog,Storm Violet Sun,6,10,2,9,28,24,85019
1020,1020_monster_special_attacks_random_skin_magic_1020_the_protocol_weaver.zip,Monster Special Attacks + Random Skin Magic 1020 - The Protocol Weaver,monster_special_skin_magic,The Protocol Weaver,EPI-Savant,Foundation Warding,The Venom-Spitter,The Apex Chimera,Brunt the Bastion,clear dawn,Toxic Green Eclipse,6,10,2,9,28,24,69517
1021,1021_boss_phase_magic_wipe_tell_upgrades_1021_the_apex_mutator.zip,Boss Phase Magic + Wipe-Tell Upgrades 1021 - The Apex Mutator,boss_phase_magic,The Apex Mutator,Chimera Strand,Corrupted File,The Tremor-Fiend,The Null Anomaly,Kaelia of the Roots,gold noon,Deep Blue Lunar Sun,6,10,2,9,28,24,79379
1022,1022_player_class_ability_fx_talent_tree_upgrades_1022_the_resonant.zip,Player Class Ability FX + Talent Tree Upgrades 1022 - The Resonant,player_class_ability_fx,The Resonant,Sonic Vanguard,Psychoacoustic Illusion,The Nexus Swarmers,The Ascendant Colossus,Tidespeaker Nami,orange dusk,Black-Sun Rimlight,6,10,2,9,28,24,79660
1023,1023_support_npc_special_attack_assist_upgrades_1023_the_packmaster.zip,Support NPC Special Attack + Assist Upgrades 1023 - The Packmaster,support_npc_specials,The Packmaster,Hound-Rider,Mounted Artillery,Nexus Warden,The Data-Forged Evolvarch,Vex the Scavenger,violet stormfront,Aurora Cyan Sun,6,10,2,9,28,24,84442
1024,1024_high_tier_magic_weapon_upgrade_pack_1024_the_orbital_striker.zip,High-Tier Magic Weapon Upgrade Pack 1024 - The Orbital Striker,high_tier_magic_weapons,The Orbital Striker,Zero-G Brawler,Atmospheric Juggle,The Scrap-Stalker,The Syndicate Lich,Flora the Druid,green eclipse,Clear Dawn Sun,6,10,2,9,28,24,69188
1025,1025_high_tier_magic_armor_upgrade_pack_1025_the_scrap_tek.zip,High-Tier Magic Armor Upgrade Pack 1025 - The Scrap Tek,high_tier_magic_armor,The Scrap-Tek,Field-Mechanic,Shrapnel Storm,The Sylvan Juggernaut,The Astral Sovereign,Jace the Glitch,blue moonlight,Hard Noon White Sun,6,10,2,9,28,24,84104
1026,1026_combat_flow_smoothness_dynamic_camera_1026_the_kinetic_juggernaut.zip,Combat Flow Smoothness + Dynamic Camera 1026 - The Kinetic Juggernaut,combat_flow_camera,The Kinetic Juggernaut,Seismic Brawler,The Stampede,The Void Anomaly,The Ivory Behemoth,Dr. Aris the Architect,red ashfall,Ash Orange Sun,6,10,2,9,28,24,83937
1027,1027_weather_sun_color_terrain_upgrade_1027_the_phantom_shift.zip,Weather + Sun Color + Terrain Upgrade 1027 - The Phantom Shift,weather_sun_terrain,The Phantom-Shift,Glass-Cannon,Time-Loop,The Grid-Rushers,The Resonant Behemoth,Cipher the Deviant,whiteout snow,Storm Violet Sun,6,10,2,9,28,24,61035
1028,1028_nature_terrain_element_upgrade_1028_the_sylvan_warden.zip,Nature + Terrain Element Upgrade 1028 - The Sylvan Warden,nature_terrain_elements,The Sylvan Warden,Root-Binder,Canopy Assault,The Gnarl-Maws,The Resonance Maestro,Ignis the Burner,acid rain,Toxic Green Eclipse,6,10,2,9,28,24,84097
1029,1029_character_appearance_quality_upgrade_1029_the_flux_caster.zip,Character Appearance Quality Upgrade 1029 - The Flux Caster,character_appearance_quality,The Flux-Caster,Aether-Blade,Blizzard,The Scrap-Phalanx,The Apex Chimera,Beastmaster Thorne,zero-g starwind,Deep Blue Lunar Sun,6,10,2,9,28,24,83904
1030,1030_monster_spawn_skin_randomizer_upgrade_1030_the_protocol_weaver.zip,Monster Spawn Skin Randomizer Upgrade 1030 - The Protocol Weaver,monster_spawn_randomizer,The Protocol Weaver,Front-Matter Architect,Biomechanical Shift,The Siphon-Ticks,The Null Anomaly,Boomer Dax,black-sun anomaly,Black-Sun Rimlight,6,10,2,9,28,24,69359
1031,1031_full_encounter_polish_upgrade_1031_the_apex_mutator.zip,Full Encounter Polish Upgrade 1031 - The Apex Mutator,full_encounter_polish,The Apex Mutator,Primal Catalyst,Apex Predator,The Aegis Carapace,The Ascendant Colossus,Echo the Weaver,aurora rain,Aurora Cyan Sun,6,10,2,9,28,24,78960
1032,1032_monster_special_attacks_random_skin_magic_1032_the_resonant.zip,Monster Special Attacks + Random Skin Magic 1032 - The Resonant,monster_special_skin_magic,The Resonant,Sub-Bass Architect,Low-Frequency Disruption,The Iron-Jaw Hound,The Data-Forged Evolvarch,Red-Pen Quinn,heat shimmer,Clear Dawn Sun,6,10,2,9,28,24,78531
1033,1033_boss_phase_magic_wipe_tell_upgrades_1033_the_packmaster.zip,Boss Phase Magic + Wipe-Tell Upgrades 1033 - The Packmaster,boss_phase_magic,The Packmaster,Feral Vanguard,Coordinated Assault,The Venom-Spitter,The Syndicate Lich,Lyra the Void-Touched,deep-water gloom,Hard Noon White Sun,6,10,2,9,28,24,84412
1034,1034_player_class_ability_fx_talent_tree_upgrades_1034_the_orbital_striker.zip,Player Class Ability FX + Talent Tree Upgrades 1034 - The Orbital Striker,player_class_ability_fx,The Orbital Striker,Grav-Architect,Frictionless Dash,The Tremor-Fiend,The Astral Sovereign,Zephyr the Pilot,crystal fog,Ash Orange Sun,6,10,2,9,28,24,70035
1035,1035_support_npc_special_attack_assist_upgrades_1035_the_scrap_tek.zip,Support NPC Special Attack + Assist Upgrades 1035 - The Scrap Tek,support_npc_specials,The Scrap-Tek,Exo-Brawler,Hunter-Killer Drones,The Nexus Swarmers,The Ivory Behemoth,Orion the Vanguard,clear dawn,Storm Violet Sun,6,10,2,9,28,24,84709
1036,1036_high_tier_magic_weapon_upgrade_pack_1036_the_kinetic_juggernaut.zip,High-Tier Magic Weapon Upgrade Pack 1036 - The Kinetic Juggernaut,high_tier_magic_weapons,The Kinetic Juggernaut,Counter-Weight,Heavy Grapple,Nexus Warden,The Resonant Behemoth,Director Vance,gold noon,Toxic Green Eclipse,6,10,2,9,28,24,83586
1037,1037_high_tier_magic_armor_upgrade_pack_1037_the_phantom_shift.zip,High-Tier Magic Armor Upgrade Pack 1037 - The Phantom Shift,high_tier_magic_armor,The Phantom-Shift,Chrono-Blade,Sensory Feedback,The Scrap-Stalker,The Resonance Maestro,The Iron Warden,orange dusk,Deep Blue Lunar Sun,6,10,2,9,28,24,60695
1038,1038_combat_flow_smoothness_dynamic_camera_1038_the_sylvan_warden.zip,Combat Flow Smoothness + Dynamic Camera 1038 - The Sylvan Warden,combat_flow_camera,The Sylvan Warden,Verdant Weaver,Briar-Patch,The Sylvan Juggernaut,The Apex Chimera,Elder Kaelen,violet stormfront,Black-Sun Rimlight,6,10,2,9,28,24,83530
1039,1039_weather_sun_color_terrain_upgrade_1039_the_flux_caster.zip,Weather + Sun Color + Terrain Upgrade 1039 - The Flux Caster,weather_sun_terrain,The Flux-Caster,Geo-Mage,Crystal Carapace,The Void Anomaly,The Null Anomaly,Commander Solis,green eclipse,Aurora Cyan Sun,6,10,2,9,28,24,84223
1040,1040_nature_terrain_element_upgrade_1040_the_protocol_weaver.zip,Nature + Terrain Element Upgrade 1040 - The Protocol Weaver,nature_terrain_elements,The Protocol Weaver,EPI-Savant,Structural Revision,The Grid-Rushers,The Ascendant Colossus,The Chord Weaver,blue moonlight,Clear Dawn Sun,6,10,2,9,28,24,69798
1041,1041_character_appearance_quality_upgrade_1041_the_apex_mutator.zip,Character Appearance Quality Upgrade 1041 - The Apex Mutator,character_appearance_quality,The Apex Mutator,Chimera Strand,Scrap-Armor,The Gnarl-Maws,The Data-Forged Evolvarch,Spark,red ashfall,Hard Noon White Sun,6,10,2,9,28,24,79042
1042,1042_monster_spawn_skin_randomizer_upgrade_1042_the_resonant.zip,Monster Spawn Skin Randomizer Upgrade 1042 - The Resonant,monster_spawn_randomizer,The Resonant,Sonic Vanguard,Accelerando,The Scrap-Phalanx,The Syndicate Lich,The Fragmented Core,whiteout snow,Ash Orange Sun,6,10,2,9,28,24,78737
1043,1043_full_encounter_polish_upgrade_1043_the_packmaster.zip,Full Encounter Polish Upgrade 1043 - The Packmaster,full_encounter_polish,The Packmaster,Hound-Rider,Pack Mentality,The Siphon-Ticks,The Astral Sovereign,The Grand Archivist,acid rain,Storm Violet Sun,6,10,2,9,28,24,84456
1044,1044_monster_special_attacks_random_skin_magic_1044_the_orbital_striker.zip,Monster Special Attacks + Random Skin Magic 1044 - The Orbital Striker,monster_special_skin_magic,The Orbital Striker,Zero-G Brawler,Singularity Tether,The Aegis Carapace,The Ivory Behemoth,Kael the Cadet,zero-g starwind,Toxic Green Eclipse,6,10,2,9,28,24,69317
1045,1045_boss_phase_magic_wipe_tell_upgrades_1045_the_scrap_tek.zip,Boss Phase Magic + Wipe-Tell Upgrades 1045 - The Scrap Tek,boss_phase_magic,The Scrap-Tek,Field-Mechanic,Overcharge,The Iron-Jaw Hound,The Resonant Behemoth,Riff the Ascetic,black-sun anomaly,Deep Blue Lunar Sun,6,10,2,9,28,24,84203
1046,1046_player_class_ability_fx_talent_tree_upgrades_1046_the_kinetic_juggernaut.zip,Player Class Ability FX + Talent Tree Upgrades 1046 - The Kinetic Juggernaut,player_class_ability_fx,The Kinetic Juggernaut,Seismic Brawler,Aggro Manipulation,The Venom-Spitter,The Resonance Maestro,Silas the Houndmaster,aurora rain,Black-Sun Rimlight,6,10,2,9,28,24,83061
1047,1047_support_npc_special_attack_assist_upgrades_1047_the_phantom_shift.zip,Support NPC Special Attack + Assist Upgrades 1047 - The Phantom Shift,support_npc_specials,The Phantom-Shift,Glass-Cannon,Momentum Drift,The Tremor-Fiend,The Apex Chimera,Spark the Hacker,heat shimmer,Aurora Cyan Sun,6,10,2,9,28,24,61807
1048,1048_high_tier_magic_weapon_upgrade_pack_1048_the_sylvan_warden.zip,High-Tier Magic Weapon Upgrade Pack 1048 - The Sylvan Warden,high_tier_magic_weapons,The Sylvan Warden,Root-Binder,Thorns & Tethers,The Nexus Swarmers,The Null Anomaly,Brunt the Bastion,deep-water gloom,Clear Dawn Sun,6,10,2,9,28,24,83995
1049,1049_high_tier_magic_armor_upgrade_pack_1049_the_flux_caster.zip,High-Tier Magic Armor Upgrade Pack 1049 - The Flux Caster,high_tier_magic_armor,The Flux-Caster,Aether-Blade,Superconduct,Nexus Warden,The Ascendant Colossus,Kaelia of the Roots,crystal fog,Hard Noon White Sun,6,10,2,9,28,24,83806
1050,1050_combat_flow_smoothness_dynamic_camera_1050_the_protocol_weaver.zip,Combat Flow Smoothness + Dynamic Camera 1050 - The Protocol Weaver,combat_flow_camera,The Protocol Weaver,Front-Matter Architect,Reality Tearing,The Scrap-Stalker,The Data-Forged Evolvarch,Tidespeaker Nami,clear dawn,Ash Orange Sun,6,10,2,9,28,24,69527
1051,1051_weather_sun_color_terrain_upgrade_1051_the_apex_mutator.zip,Weather + Sun Color + Terrain Upgrade 1051 - The Apex Mutator,weather_sun_terrain,The Apex Mutator,Primal Catalyst,Feral Regeneration,The Sylvan Juggernaut,The Syndicate Lich,Vex the Scavenger,gold noon,Storm Violet Sun,6,10,2,9,28,24,78932
1052,1052_nature_terrain_element_upgrade_1052_the_resonant.zip,Nature + Terrain Element Upgrade 1052 - The Resonant,nature_terrain_elements,The Resonant,Sub-Bass Architect,Acoustic Shielding,The Void Anomaly,The Astral Sovereign,Flora the Druid,orange dusk,Toxic Green Eclipse,6,10,2,9,28,24,79043
1053,1053_character_appearance_quality_upgrade_1053_the_packmaster.zip,Character Appearance Quality Upgrade 1053 - The Packmaster,character_appearance_quality,The Packmaster,Feral Vanguard,Territorial Divide,The Grid-Rushers,The Ivory Behemoth,Jace the Glitch,violet stormfront,Deep Blue Lunar Sun,6,10,2,9,28,24,83879
1054,1054_monster_spawn_skin_randomizer_upgrade_1054_the_orbital_striker.zip,Monster Spawn Skin Randomizer Upgrade 1054 - The Orbital Striker,monster_spawn_randomizer,The Orbital Striker,Grav-Architect,Satellite Painting,The Gnarl-Maws,The Resonant Behemoth,Dr. Aris the Architect,green eclipse,Black-Sun Rimlight,6,10,2,9,28,24,70105
1055,1055_full_encounter_polish_upgrade_1055_the_scrap_tek.zip,Full Encounter Polish Upgrade 1055 - The Scrap Tek,full_encounter_polish,The Scrap-Tek,Exo-Brawler,Hydraulic Leap,The Scrap-Phalanx,The Resonance Maestro,Cipher the Deviant,blue moonlight,Aurora Cyan Sun,6,10,2,9,28,24,84316
1056,1056_monster_special_attacks_random_skin_magic_1056_the_kinetic_juggernaut.zip,Monster Special Attacks + Random Skin Magic 1056 - The Kinetic Juggernaut,monster_special_skin_magic,The Kinetic Juggernaut,Counter-Weight,Kinetic Absorption,The Siphon-Ticks,The Apex Chimera,Ignis the Burner,red ashfall,Clear Dawn Sun,6,10,2,9,28,24,84159
1057,1057_boss_phase_magic_wipe_tell_upgrades_1057_the_phantom_shift.zip,Boss Phase Magic + Wipe-Tell Upgrades 1057 - The Phantom Shift,boss_phase_magic,The Phantom-Shift,Chrono-Blade,Shadow-Anchor,The Aegis Carapace,The Null Anomaly,Beastmaster Thorne,whiteout snow,Hard Noon White Sun,6,10,2,9,28,24,61942
1058,1058_player_class_ability_fx_talent_tree_upgrades_1058_the_sylvan_warden.zip,Player Class Ability FX + Talent Tree Upgrades 1058 - The Sylvan Warden,player_class_ability_fx,The Sylvan Warden,Verdant Weaver,Ablative Carapace,The Iron-Jaw Hound,The Ascendant Colossus,Boomer Dax,acid rain,Ash Orange Sun,6,10,2,9,28,24,84267
1059,1059_support_npc_special_attack_assist_upgrades_1059_the_flux_caster.zip,Support NPC Special Attack + Assist Upgrades 1059 - The Flux Caster,support_npc_specials,The Flux-Caster,Geo-Mage,Elemental Ward,The Venom-Spitter,The Data-Forged Evolvarch,Echo the Weaver,zero-g starwind,Storm Violet Sun,6,10,2,9,28,24,84152
1060,1060_high_tier_magic_weapon_upgrade_pack_1060_the_protocol_weaver.zip,High-Tier Magic Weapon Upgrade Pack 1060 - The Protocol Weaver,high_tier_magic_weapons,The Protocol Weaver,EPI-Savant,Foundation Warding,The Tremor-Fiend,The Syndicate Lich,Red-Pen Quinn,black-sun anomaly,Toxic Green Eclipse,6,10,2,9,28,24,69080
1061,1061_high_tier_magic_armor_upgrade_pack_1061_the_apex_mutator.zip,High-Tier Magic Armor Upgrade Pack 1061 - The Apex Mutator,high_tier_magic_armor,The Apex Mutator,Chimera Strand,Corrupted File,The Nexus Swarmers,The Astral Sovereign,Lyra the Void-Touched,aurora rain,Deep Blue Lunar Sun,6,10,2,9,28,24,79559
1062,1062_combat_flow_smoothness_dynamic_camera_1062_the_resonant.zip,Combat Flow Smoothness + Dynamic Camera 1062 - The Resonant,combat_flow_camera,The Resonant,Sonic Vanguard,Psychoacoustic Illusion,Nexus Warden,The Ivory Behemoth,Zephyr the Pilot,heat shimmer,Black-Sun Rimlight,6,10,2,9,28,24,78377
1063,1063_weather_sun_color_terrain_upgrade_1063_the_packmaster.zip,Weather + Sun Color + Terrain Upgrade 1063 - The Packmaster,weather_sun_terrain,The Packmaster,Hound-Rider,Mounted Artillery,The Scrap-Stalker,The Resonant Behemoth,Orion the Vanguard,deep-water gloom,Aurora Cyan Sun,6,10,2,9,28,24,84381
1064,1064_nature_terrain_element_upgrade_1064_the_orbital_striker.zip,Nature + Terrain Element Upgrade 1064 - The Orbital Striker,nature_terrain_elements,The Orbital Striker,Zero-G Brawler,Atmospheric Juggle,The Sylvan Juggernaut,The Resonance Maestro,Director Vance,crystal fog,Clear Dawn Sun,6,10,2,9,28,24,70502
1065,1065_character_appearance_quality_upgrade_1065_the_scrap_tek.zip,Character Appearance Quality Upgrade 1065 - The Scrap Tek,character_appearance_quality,The Scrap-Tek,Field-Mechanic,Shrapnel Storm,The Void Anomaly,The Apex Chimera,The Iron Warden,clear dawn,Hard Noon White Sun,6,10,2,9,28,24,84523
1066,1066_monster_spawn_skin_randomizer_upgrade_1066_the_kinetic_juggernaut.zip,Monster Spawn Skin Randomizer Upgrade 1066 - The Kinetic Juggernaut,monster_spawn_randomizer,The Kinetic Juggernaut,Seismic Brawler,The Stampede,The Grid-Rushers,The Null Anomaly,Elder Kaelen,gold noon,Ash Orange Sun,6,10,2,9,28,24,83941
1067,1067_full_encounter_polish_upgrade_1067_the_phantom_shift.zip,Full Encounter Polish Upgrade 1067 - The Phantom Shift,full_encounter_polish,The Phantom-Shift,Glass-Cannon,Time-Loop,The Gnarl-Maws,The Ascendant Colossus,Commander Solis,orange dusk,Storm Violet Sun,6,10,2,9,28,24,61176
1068,1068_monster_special_attacks_random_skin_magic_1068_the_sylvan_warden.zip,Monster Special Attacks + Random Skin Magic 1068 - The Sylvan Warden,monster_special_skin_magic,The Sylvan Warden,Root-Binder,Canopy Assault,The Scrap-Phalanx,The Data-Forged Evolvarch,The Chord Weaver,violet stormfront,Toxic Green Eclipse,6,10,2,9,28,24,83710
1069,1069_boss_phase_magic_wipe_tell_upgrades_1069_the_flux_caster.zip,Boss Phase Magic + Wipe-Tell Upgrades 1069 - The Flux Caster,boss_phase_magic,The Flux-Caster,Aether-Blade,Blizzard,The Siphon-Ticks,The Syndicate Lich,Spark,green eclipse,Deep Blue Lunar Sun,6,10,2,9,28,24,83734
1070,1070_player_class_ability_fx_talent_tree_upgrades_1070_the_protocol_weaver.zip,Player Class Ability FX + Talent Tree Upgrades 1070 - The Protocol Weaver,player_class_ability_fx,The Protocol Weaver,Front-Matter Architect,Biomechanical Shift,The Aegis Carapace,The Astral Sovereign,The Fragmented Core,blue moonlight,Black-Sun Rimlight,6,10,2,9,28,24,70502
1071,1071_support_npc_special_attack_assist_upgrades_1071_the_apex_mutator.zip,Support NPC Special Attack + Assist Upgrades 1071 - The Apex Mutator,support_npc_specials,The Apex Mutator,Primal Catalyst,Apex Predator,The Iron-Jaw Hound,The Ivory Behemoth,The Grand Archivist,red ashfall,Aurora Cyan Sun,6,10,2,9,28,24,78554
1072,1072_high_tier_magic_weapon_upgrade_pack_1072_the_resonant.zip,High-Tier Magic Weapon Upgrade Pack 1072 - The Resonant,high_tier_magic_weapons,The Resonant,Sub-Bass Architect,Low-Frequency Disruption,The Venom-Spitter,The Resonant Behemoth,Kael the Cadet,whiteout snow,Clear Dawn Sun,6,10,2,9,28,24,78153
